STATE,NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
1,Alabama,4780135,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747
2,Alaska,710249,714015,722259,730825,736760,736759,737979,741522,739795
4,Arizona,6392309,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270
5,Arkansas,2916031,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279
6,California,37254518,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653
8,Colorado,5029325,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154
9,Connecticut,3574114,3580171,3591927,3597705,3602470,3600188,3593862,3587685,3588184
10,Delaware,897936,899712,907884,916868,925114,934805,944107,952698,961939
11,District of Columbia,601766,605040,620336,635630,650114,660797,672736,684336,693972
12,Florida,18804594,18846461,19097369,19341327,19584927,19897747,20268567,20656589,20984400
13,Georgia,9688690,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10429379
15,Hawaii,1360301,1363817,1378323,1392772,1408038,1417710,1426320,1428683,1427538
16,Idaho,1567650,1570912,1583180,1594673,1610187,1630391,1649324,1680026,1716943
17,Illinois,12831565,12841196,12862298,12878494,12890403,12882438,12862051,12835726,12802023
18,Indiana,6484125,6490029,6515358,6535665,6567484,6593182,6610596,6634007,6666818
19,Iowa,3046869,3050223,3063690,3074386,3089876,3105563,3118473,3130869,3145711
20,Kansas,2853130,2858403,2868756,2885316,2892900,2899553,2905789,2907731,2913123
21,Kentucky,4339340,4347948,4368505,4383673,4399121,4410415,4422057,4436113,4454189
22,Louisiana,4533478,4544871,4574388,4602681,4626795,4648797,4671211,4686157,4684333
23,Maine,1328362,1327568,1327968,1328101,1327975,1328903,1327787,1330232,1335907
24,Maryland,5773807,5788099,5843115,5891680,5932654,5970245,6000561,6024752,6052177
25,Massachusetts,6547808,6564943,6612178,6659627,6711138,6757925,6794002,6823721,6859819
26,Michigan,9884129,9876731,9876199,9886610,9899219,9914675,9918170,9933445,9962311
27,Minnesota,5303924,5310711,5345967,5377695,5416074,5452649,5483238,5525050,5576606
28,Mississippi,2968103,2970437,2977452,2982963,2987721,2988578,2985297,2985415,2984100
29,Missouri,5988925,5995681,6010280,6023267,6041142,6058014,6072640,6091176,6113532
30,Montana,989414,990507,996866,1003522,1011921,1019931,1028317,1038656,1050493
31,Nebraska,1826327,1829956,1841641,1854862,1867414,1880920,1893564,1907603,1920076
32,Nevada,2700691,2702797,2718170,2752410,2786547,2831730,2883057,2939254,2998039
33,New Hampshire,1316460,1316700,1318345,1320923,1322622,1328684,1330134,1335015,1342795
34,New Jersey,8791953,8803708,8844694,8882095,8913735,8943010,8960001,8978416,9005644
35,New Mexico,2059207,2064607,2077744,2083590,2085161,2083207,2082264,2085432,2088070
36,New York,19378110,19405185,19526372,19625409,19712514,19773580,19819347,19836286,19849399
37,North Carolina,9535721,9574247,9662940,9755299,9849812,9941160,10041769,10156689,10273419
38,North Dakota,672585,674518,684830,701380,722908,738658,754859,755548,755393
39,Ohio,11536730,11539282,11543332,11546969,11567845,11593741,11606027,11622554,11658609
40,Oklahoma,3751598,3759529,3785232,3815298,3849840,3875008,3904353,3921207,3930864
41,Oregon,3831072,3837073,3865845,3893920,3919664,3960673,4016537,4085989,4142776
42,Pennsylvania,12702857,12711063,12742811,12768034,12778450,12790341,12791124,12787085,12805537
44,Rhode Island,1052945,1053169,1052154,1052761,1052784,1054782,1055916,1057566,1059639
45,South Carolina,4625381,4635834,4672744,4719009,4765862,4824758,4892423,4959822,5024369
46,South Dakota,814197,816227,823338,832576,842513,849455,854036,861542,869666
47,Tennessee,6346295,6355882,6396281,6450632,6490795,6540007,6590726,6649404,6715984
48,Texas,25146100,25241648,25644424,26078327,26479279,26954436,27454880,27904862,28304596
49,Utah,2763889,2775260,2815430,2854222,2899961,2938671,2984917,3044321,3101833
50,Vermont,625741,625842,626210,625606,626044,625665,624455,623354,623657
51,Virginia,8001043,8025206,8107548,8188656,8261689,8316902,8366767,8414380,8470020
53,Washington,6724545,6741386,6819155,6890899,6963410,7046931,7152818,7280934,7405743
54,West Virginia,1853006,1854315,1854891,1855360,1852333,1847624,1839767,1828637,1815857
55,Wisconsin,5687288,5690403,5705812,5721075,5736673,5751272,5759744,5772917,5795483
56,Wyoming,563767,564376,567602,576608,582341,583334,586102,584910,579315
72,Puerto Rico,3726157,3721525,3678732,3634488,3593077,3534874,3473177,3406520,3337177